scenario	mod	n	k	tier	ticks	runs	avg_ms	min_ms	max_ms	whole_us	belts_us	entity_us	script_us	throughput	balance	factorio	date	note
saturated	belt-balancer-2_2.0.9	1	4	express	3600	2	0.1845	0.0780	3.9750	176.16	47.26	3.30	15.31	8808	1.000	2.0.77	2026-08-01	
control	none	1	4	express	3600	2	0.1605	0.0800	0.2880	162.10	48.46	3.31	0.31	8648	1.000	2.0.77	2026-08-01	
saturated	belt-balancer-2_2.0.9	50	4	express	3600	2	1.0320	0.1960	12.9210	1020.54	100.16	63.87	681.87	440400	1.000	2.0.77	2026-08-01	
control	none	50	4	express	3600	2	0.2235	0.0910	0.6370	228.14	61.48	53.43	0.69	432400	1.000	2.0.77	2026-08-01	
saturated	belt-balancer-2_2.0.9	200	4	express	3600	2	3.8125	0.5780	57.5620	3833.81	244.22	308.92	2951.91	1761600	1.000	2.0.77	2026-08-01	
control	none	200	4	express	3600	2	0.4735	0.2090	1.5990	468.93	126.22	230.91	1.67	1729600	1.000	2.0.77	2026-08-01	
saturated	belt-balancer-2_2.0.9	50	8	express	3600	2	1.8730	0.2870	21.9480	1910.40	144.00	133.34	1396.26	880800	1.000	2.0.77	2026-08-01	
control	none	50	8	express	3600	2	0.2995	0.1380	1.0270	297.10	82.77	103.68	1.05	852000	1.000	2.0.77	2026-08-01	
idle	belt-balancer-2_2.0.9	200	4	express	3600	2	0.4505	0.3310	5.1050	427.99	40.54	1.75	268.83	0	n/a	2.0.77	2026-08-01	
control-idle	none	200	4	express	3600	2	0.1715	0.0810	1.4950	163.22	49.25	1.70	1.47	0	n/a	2.0.77	2026-08-01	
saturated	belt-balancer-2_2.0.9	1	4	normal	3600	2	0.1750	0.0820	0.3840	170.22	49.91	2.39	5.61	2808	1.000	2.0.77	2026-08-01	
control	none	1	4	normal	3600	2	0.1655	0.0730	0.6920	166.98	51.82	2.38	0.29	2648	1.000	2.0.77	2026-08-01	
saturated	belt-balancer-2_2.0.9	50	4	normal	3600	2	0.4595	0.1210	9.9270	467.11	92.30	26.71	200.20	140400	1.000	2.0.77	2026-08-01	
control	none	50	4	normal	3600	2	0.1995	0.0960	0.6900	197.02	60.91	23.87	0.62	132400	1.000	2.0.77	2026-08-01	
saturated	belt-balancer-2_2.0.9	200	4	normal	3600	2	1.5175	0.2500	42.8330	1566.85	280.09	125.15	951.95	561600	1.000	2.0.77	2026-08-01	
control	none	200	4	normal	3600	2	0.3665	0.1560	1.6570	344.71	126.82	102.59	1.64	529600	1.000	2.0.77	2026-08-01	
saturated	belt-balancer-2_2.0.9	50	8	normal	3600	2	0.7720	0.1880	18.4080	786.47	128.04	55.52	425.37	280800	1.000	2.0.77	2026-08-01	
control	none	50	8	normal	3600	2	0.2405	0.1030	0.9950	253.38	88.89	49.39	1.01	252000	1.000	2.0.77	2026-08-01	
idle	belt-balancer-2_2.0.9	200	4	normal	3600	2	0.2030	0.0770	1.9860	204.50	49.76	1.72	35.59	0	n/a	2.0.77	2026-08-01	
control-idle	none	200	4	normal	3600	2	0.1705	0.0740	1.4520	165.21	50.29	1.71	1.29	0	n/a	2.0.77	2026-08-01	
saturated	belt-balancer-3_1.0.1	1	4	express	1200	2	0.2510	0.0900	3.4310	218.94	54.60	4.26	19.89	1608	1.000	2.0.77	2026-08-01	bb3 smoke test
saturated	belt-balancer-3_1.0.1	1	4	express	3600	2	0.2025	0.0820	0.5130	187.52	49.41	3.57	17.86	8808	1.000	2.0.77	2026-08-01	
saturated	belt-balancer-3_1.0.1	50	4	express	3600	2	1.2785	0.3200	15.8590	1290.09	104.66	79.42	866.26	440400	1.000	2.0.77	2026-08-01	
saturated	belt-balancer-3_1.0.1	200	4	express	3600	2	5.0425	0.8790	82.3680	4880.32	256.51	433.73	3818.55	1761600	1.000	2.0.77	2026-08-01	
